,Adj Close,Close,Date,High,Low,Open,Volume,S&P 500 PE Ratio
11374,90.71,90.71,1975-11-25,91.1,89.66,0.0,17490000,11.194
11375,89.7,89.7,1975-11-24,90.17,88.65,0.0,13930000,11.203000000000001
11376,89.53,89.53,1975-11-21,90.23,88.79,0.0,14110000,11.23
11377,89.64,89.64,1975-11-20,90.68,89.09,0.0,16460000,11.239
11378,89.98,89.98,1975-11-19,91.28,89.47,0.0,16820000,11.248000000000001
11379,91.0,91.0,1975-11-18,92.3,90.6,0.0,20760000,11.257
11380,91.46,91.46,1975-11-17,91.99,90.5,0.0,17660000,11.266
11381,90.97,90.97,1975-11-14,91.59,90.19,0.0,16460000,11.293000000000001
11382,91.04,91.04,1975-11-13,92.33,90.56,0.0,25070000,11.302
11383,91.19,91.19,1975-11-12,91.63,89.8,0.0,23960000,11.311
11384,89.87,89.87,1975-11-11,90.47,89.04,0.0,14640000,11.32
11385,89.34,89.34,1975-11-10,89.98,88.35,0.0,14910000,11.329
11386,89.33,89.33,1975-11-07,90.18,88.67,0.0,15930000,11.356
11387,89.55,89.55,1975-11-06,90.15,88.16,0.0,18600000,11.365
11388,89.15,89.15,1975-11-05,90.08,88.32,0.0,17390000,11.374
11389,88.51,88.51,1975-11-04,89.03,87.63,0.0,11570000,11.383000000000001
11390,88.09,88.09,1975-11-03,89.21,87.78,0.0,11400000,11.392
11391,89.04,89.04,1975-10-31,89.8,88.35,0.0,12910000,11.40709677419355
11392,89.31,89.31,1975-10-30,90.2,88.7,0.0,15080000,11.404193548387097
11393,89.39,89.39,1975-10-29,90.61,88.89,0.0,16110000,11.401290322580646
11394,90.51,90.51,1975-10-28,91.01,89.4,0.0,17060000,11.398387096774194
11395,89.73,89.73,1975-10-27,90.4,88.85,0.0,13100000,11.395483870967743
11396,89.83,89.83,1975-10-24,91.52,89.46,0.0,18120000,11.386774193548387
11397,91.24,91.24,1975-10-23,91.75,90.09,0.0,17900000,11.383870967741936
11398,90.71,90.71,1975-10-22,91.38,89.77,0.0,16060000,11.380967741935484
11399,90.56,90.56,1975-10-21,91.43,89.79,0.0,20800000,11.378064516129033
11400,89.82,89.82,1975-10-20,90.14,88.43,0.0,13250000,11.37516129032258
11401,88.86,88.86,1975-10-17,89.87,88.08,0.0,15650000,11.366451612903226
11402,89.37,89.37,1975-10-16,90.73,88.9,0.0,18910000,11.363548387096774
11403,89.23,89.23,1975-10-15,90.07,88.5,0.0,14440000,11.360645161290323
11404,89.28,89.28,1975-10-14,90.8,88.81,0.0,19960000,11.35774193548387
11405,89.46,89.46,1975-10-13,89.67,87.73,0.0,12020000,11.35483870967742
11406,88.21,88.21,1975-10-10,89.17,87.44,0.0,14880000,11.346129032258064
11407,88.37,88.37,1975-10-09,89.42,87.6,0.0,17770000,11.343225806451613
11408,87.94,87.94,1975-10-08,88.46,86.34,0.0,17800000,11.34032258064516
11409,86.77,86.77,1975-10-07,87.32,85.56,0.0,13530000,11.33741935483871
11410,86.88,86.88,1975-10-06,87.64,85.98,0.0,15470000,11.334516129032258
11411,85.95,85.95,1975-10-03,86.21,83.88,0.0,16360000,11.325806451612904
11412,83.82,83.82,1975-10-02,84.33,82.82,0.0,14290000,11.322903225806451
11413,82.93,82.93,1975-10-01,85.45,82.57,0.0,14070000,11.32
11414,83.87,83.87,1975-09-30,85.01,83.44,0.0,12520000,11.306333333333333
11415,85.03,85.03,1975-09-29,86.38,84.74,0.0,10580000,11.292666666666667
11416,86.19,86.19,1975-09-26,86.86,85.13,0.0,12570000,11.251666666666667
11417,85.64,85.64,1975-09-25,86.41,84.79,0.0,12890000,11.238
11418,85.74,85.74,1975-09-24,86.7,85.03,0.0,16060000,11.224333333333334
11419,84.94,84.94,1975-09-23,85.51,83.8,0.0,12800000,11.210666666666667
11420,85.07,85.07,1975-09-22,86.7,84.7,0.0,14750000,11.197000000000001
11421,85.88,85.88,1975-09-19,86.39,84.26,0.0,20830000,11.156
11422,84.06,84.06,1975-09-18,84.34,82.23,0.0,14560000,11.142333333333333
11423,82.37,82.37,1975-09-17,82.93,81.57,0.0,12190000,11.128666666666668
11424,82.09,82.09,1975-09-16,83.43,81.79,0.0,13090000,11.115
11425,82.88,82.88,1975-09-15,83.49,82.29,0.0,8670000,11.101333333333333
11426,83.3,83.3,1975-09-12,84.47,82.84,0.0,12230000,11.060333333333334
11427,83.45,83.45,1975-09-11,84.3,82.88,0.0,11100000,11.046666666666667
11428,83.79,83.79,1975-09-10,84.59,83.0,0.0,14780000,11.033
11429,84.6,84.6,1975-09-09,86.73,84.37,0.0,15790000,11.019333333333334
11430,85.89,85.89,1975-09-08,86.31,84.89,0.0,11500000,11.005666666666666
