DAY,TOTAL BALANCE,STATUS
166,541576.9299999998,Sold 1 units for price $2848.42 and investment $-1.1373772642553939
167,544445.3699999998,Sold 1 units for price $2868.44 and investment $-0.44252548426171134
168,547288.1099999998,Sold 1 units for price $2842.74 and investment $-1.3345180290088565
169,550118.8199999997,Sold 1 units for price $2830.71 and investment $-1.7520538388651918
170,553031.2499999998,Sold 1 units for price $2912.43 and investment $1.0842742061439816
171,550091.7399999998,Bought 1 units for price $2939.51
172,552955.1299999998,Sold 1 units for price $2863.39 and investment $-2.589547237464759
173,555833.6099999998,Sold 1 units for price $2878.48 and investment $-2.076196372864872
174,558670.3499999997,Sold 1 units for price $2836.74 and investment $-3.4961609247799954
175,555872.5499999997,Bought 1 units for price $2797.8
176,558671.8599999998,Sold 1 units for price $2799.31 and investment $0.05397097719636012
177,561408.4199999998,Sold 1 units for price $2736.56 and investment $-2.188862677818294
178,564231.5799999998,Sold 1 units for price $2823.16 and investment $0.9064264779469465
179,567106.1399999999,Sold 1 units for price $2874.56 and investment $2.7435842447637344
180,569905.69,Sold 1 units for price $2799.55 and investment $0.0625491457573808
181,572689.0499999999,Sold 1 units for price $2783.36 and investment $-0.516119808420904
182,575535.11,Sold 1 units for price $2846.06 and investment $1.7249267281435328
183,578296.74,Sold 1 units for price $2761.63 and investment $-1.292801486882553
184,581086.5599999999,Sold 1 units for price $2789.82 and investment $-0.28522410465365705
185,583836.5399999999,Sold 1 units for price $2749.98 and investment $-1.7092000857816914
186,586495.95,Sold 1 units for price $2659.41 and investment $-4.946386446493685
187,589159.63,Sold 1 units for price $2663.68 and investment $-4.7937665308456765
188,591648.28,Sold 1 units for price $2488.65 and investment $-11.049753377653873
189,594175.18,Sold 1 units for price $2526.9 and investment $-9.68260776324255
190,596645.68,Sold 1 units for price $2470.5 and investment $-11.698477375080426
191,599230.27,Sold 1 units for price $2584.59 and investment $-7.620630495389236
192,601856.92,Sold 1 units for price $2626.65 and investment $-6.117306455071845
193,604398.39,Sold 1 units for price $2541.47 and investment $-9.16184144685111
194,607028.46,Sold 1 units for price $2630.07 and investment $-5.995067553077418
195,609504.02,Sold 1 units for price $2475.56 and investment $-11.517620987919088
196,611951.35,Sold 1 units for price $2447.33 and investment $-12.526628064908149
