DAY,TOTAL BALANCE,STATUS
379,79491.2173090759,Sold 1 units for price $2973.013145873643 and investment $-0.7597404344641018
380,82455.56115035233,Sold 1 units for price $2964.3438412764203 and investment $-1.0491249734040646
381,85397.31665772521,Sold 1 units for price $2941.7555073728913 and investment $-1.8031317704646548
382,88322.22273440496,Sold 1 units for price $2924.906076679752 and investment $-2.365571892143727
383,91236.00656678656,Sold 1 units for price $2913.783832381593 and investment $-2.736836449998965
384,88318.63595626198,Bought 1 units for price $2917.370610524573
385,91263.95725272628,Sold 1 units for price $2945.321296464305 and investment $0.9580779980060948
386,88313.40210117982,Bought 1 units for price $2950.5551515464595
387,91267.6281104153,Sold 1 units for price $2954.2260092354877 and investment $0.12441244106568437
388,94194.0721134325,Sold 1 units for price $2926.444003017192 and investment $-0.8171732874279749
389,97111.8343620929,Sold 1 units for price $2917.7622486603955 and investment $-1.111414672892198
390,100001.46139521149,Sold 1 units for price $2889.6270331186024 and investment $-2.0649713460168027
391,102888.47296431387,Sold 1 units for price $2887.011569102389 and investment $-2.1536144616976847
392,105780.09945578164,Sold 1 units for price $2891.6264914677754 and investment $-1.9972058494754141
393,108659.96069027665,Sold 1 units for price $2879.8612344950093 and investment $-2.3959530807074634
394,105774.28796896625,Bought 1 units for price $2885.6727213103986
395,102887.58253074969,Bought 1 units for price $2886.70543821656
396,105760.93336972085,Sold 1 units for price $2873.3508389711683 and investment $-0.46262424522408263
397,108604.4654330438,Sold 1 units for price $2843.5320633229594 and investment $-1.4955933612774084
398,111430.6288580713,Sold 1 units for price $2826.1634250274988 and investment $-2.0972702094074753
399,108627.41002997755,Bought 1 units for price $2803.2188280937553
400,105882.98747876752,Bought 1 units for price $2744.4225512100243
401,103130.9385654812,Bought 1 units for price $2752.048913286308
402,100342.12856930571,Bought 1 units for price $2788.809996175497
403,97559.14777421618,Bought 1 units for price $2782.980795089537
404,100361.54728898992,Sold 1 units for price $2802.3995147737382 and investment $0.6977669309994832
405,97535.45886406461,Bought 1 units for price $2826.088424925308
406,94713.20483234152,Bought 1 units for price $2822.2540317230846
